"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2018","5,252.22","5,400.70","5,428.22","5,226.31","406.75M","-2.86%"
"08/26/2018","5,406.85","5,455.40","5,506.76","5,403.16","322.66M","-0.47%"
"08/19/2018","5,432.50","5,362.37","5,449.75","5,356.32","288.96M","1.64%"
"08/12/2018","5,344.93","5,402.41","5,447.93","5,287.18","363.01M","-1.29%"
"08/05/2018","5,414.68","5,487.28","5,539.41","5,391.01","353.72M","-1.17%"
"07/29/2018","5,478.98","5,490.20","5,531.58","5,445.91","427.95M","-0.59%"
"07/22/2018","5,511.76","5,382.86","5,514.40","5,358.82","453.93M","2.10%"
"07/15/2018","5,398.32","5,429.43","5,459.72","5,342.30","369.98M","-0.57%"
"07/08/2018","5,429.20","5,403.04","5,439.56","5,349.48","384.93M","0.99%"
"07/01/2018","5,375.77","5,264.40","5,393.46","5,242.64","408.63M","0.98%"
"06/24/2018","5,323.53","5,350.96","5,371.58","5,246.41","420.48M","-1.19%"
"06/17/2018","5,387.38","5,487.70","5,491.84","5,302.09","435.43M","-2.08%"
"06/10/2018","5,501.88","5,459.81","5,560.62","5,408.30","554.90M","0.95%"
"06/03/2018","5,450.22","5,497.74","5,512.82","5,405.36","424.22M","-0.28%"
"05/27/2018","5,465.53","5,565.66","5,577.38","5,381.38","578.89M","-1.39%"
"05/20/2018","5,542.55","5,626.70","5,657.44","5,519.78","418.35M","-1.28%"
"05/13/2018","5,614.51","5,539.05","5,643.15","5,524.44","432.89M","1.31%"
"05/06/2018","5,541.94","5,511.94","5,547.20","5,496.39","308.21M","0.47%"
"04/29/2018","5,516.05","5,477.44","5,538.73","5,474.48","342.21M","0.60%"
"04/22/2018","5,483.19","5,404.72","5,483.19","5,388.67","400.43M","1.30%"
"04/15/2018","5,412.83","5,322.41","5,425.79","5,298.94","397.95M","1.84%"
"04/08/2018","5,315.02","5,271.00","5,339.05","5,247.57","368.63M","1.08%"
"04/01/2018","5,258.24","5,144.63","5,282.72","5,094.69","346.92M","1.76%"
"03/25/2018","5,167.30","5,106.34","5,194.98","5,038.12","373.67M","1.41%"
"03/18/2018","5,095.22","5,263.39","5,265.44","5,059.67","432.24M","-3.55%"
"03/11/2018","5,282.75","5,298.22","5,311.66","5,224.31","471.55M","0.16%"
"03/04/2018","5,274.40","5,116.39","5,293.08","5,115.94","487.81M","2.68%"
"02/25/2018","5,136.58","5,343.57","5,363.52","5,121.24","473.09M","-3.40%"
"02/18/2018","5,317.37","5,295.33","5,322.35","5,249.85","367.13M","0.68%"
"02/11/2018","5,281.58","5,130.40","5,291.48","5,081.62","495.03M","3.98%"
"02/04/2018","5,079.21","5,322.94","5,332.77","5,051.21","677.16M","-5.33%"
"01/28/2018","5,364.98","5,534.14","5,537.53","5,364.98","422.78M","-2.97%"
"01/21/2018","5,529.15","5,520.21","5,567.03","5,456.05","410.97M","0.05%"
"01/14/2018","5,526.51","5,515.55","5,535.95","5,474.11","370.03M","0.17%"
"01/07/2018","5,517.06","5,483.47","5,529.30","5,478.92","424.58M","0.85%"
"12/31/2017","5,470.75","5,318.74","5,470.75","5,258.66","320.65M","2.98%"
"12/24/2017","5,312.56","5,359.82","5,388.14","5,312.56","133.75M","-0.97%"
"12/17/2017","5,364.72","5,386.40","5,427.87","5,323.54","341.71M","0.29%"
"12/10/2017","5,349.30","5,411.71","5,429.03","5,330.10","487.49M","-0.92%"
"12/03/2017","5,399.09","5,363.29","5,425.75","5,316.55","422.24M","1.55%"
"11/26/2017","5,316.89","5,378.96","5,441.69","5,299.06","462.52M","-1.36%"
"11/19/2017","5,390.46","5,311.28","5,419.88","5,302.85","328.65M","1.34%"
"11/12/2017","5,319.17","5,382.65","5,384.76","5,267.22","445.32M","-1.14%"
"11/05/2017","5,380.72","5,507.07","5,525.55","5,375.12","438.09M","-2.49%"
"10/29/2017","5,517.97","5,488.33","5,536.40","5,486.24","374.51M","0.43%"
"10/22/2017","5,494.13","5,377.45","5,513.53","5,364.16","417.80M","2.27%"
"10/15/2017","5,372.38","5,362.53","5,394.23","5,343.00","382.65M","0.39%"
"10/08/2017","5,351.74","5,364.81","5,378.51","5,338.14","326.64M","-0.15%"
"10/01/2017","5,359.90","5,332.92","5,381.74","5,326.66","354.42M","0.56%"
"09/24/2017","5,329.81","5,267.99","5,329.81","5,255.11","373.35M","0.92%"
"09/17/2017","5,281.29","5,231.99","5,295.93","5,219.71","361.33M","1.29%"
"09/10/2017","5,213.91","5,145.78","5,237.17","5,145.78","599.70M","1.96%"
"09/03/2017","5,113.49","5,088.28","5,148.06","5,050.09","472.61M","-0.19%"
"08/27/2017","5,123.26","5,076.47","5,138.42","4,995.07","377.83M","0.37%"
"08/20/2017","5,104.33","5,091.31","5,149.08","5,066.19","296.70M","-0.19%"
"08/13/2017","5,114.15","5,082.87","5,200.16","5,074.45","308.56M","1.05%"
"08/06/2017","5,060.92","5,210.73","5,231.65","5,046.75","379.79M","-2.74%"
"07/30/2017","5,203.44","5,127.63","5,216.40","5,084.20","406.89M","1.40%"
"07/23/2017","5,131.39","5,133.68","5,218.56","5,094.36","455.30M","0.27%"
"07/16/2017","5,117.66","5,238.41","5,251.25","5,095.12","396.12M","-2.25%"
"07/09/2017","5,235.31","5,160.70","5,259.47","5,135.95","355.86M","1.75%"
"07/02/2017","5,145.16","5,151.19","5,200.73","5,111.16","395.65M","0.48%"
"06/25/2017","5,120.68","5,295.04","5,323.73","5,117.23","479.86M","-2.76%"
"06/18/2017","5,266.12","5,305.22","5,339.55","5,224.05","401.38M","0.05%"
"06/11/2017","5,263.31","5,282.58","5,314.96","5,176.67","553.98M","-0.69%"
"06/04/2017","5,299.71","5,337.11","5,343.79","5,250.68","399.97M","-0.82%"
"05/28/2017","5,343.41","5,327.73","5,372.97","5,273.56","458.38M","0.13%"
"05/21/2017","5,336.64","5,335.12","5,368.88","5,282.42","393.72M","0.23%"
"05/14/2017","5,324.40","5,411.27","5,417.40","5,238.51","562.30M","-1.50%"
"05/07/2017","5,405.42","5,442.10","5,442.10","5,356.41","621.38M","-0.50%"
"04/30/2017","5,432.40","5,284.88","5,432.40","5,274.29","508.80M","3.13%"
"04/23/2017","5,267.33","5,267.88","5,296.52","5,228.54","722.66M","4.11%"
"04/16/2017","5,059.20","5,078.25","5,093.60","4,980.41","569.84M","-0.23%"
"04/09/2017","5,071.10","5,127.36","5,142.81","5,062.32","372.36M","-1.25%"
"04/02/2017","5,135.28","5,130.18","5,135.28","5,051.61","436.31M","0.25%"
"03/26/2017","5,122.51","4,975.09","5,122.51","4,971.07","456.79M","2.02%"
"03/19/2017","5,020.90","5,008.08","5,054.91","4,953.57","428.31M","-0.17%"
"03/12/2017","5,029.24","4,997.88","5,037.85","4,958.88","547.42M","0.72%"
"03/05/2017","4,993.32","4,983.96","5,022.10","4,933.77","485.43M","-0.04%"
"02/26/2017","4,995.13","4,864.13","5,002.32","4,833.77","534.45M","3.09%"
"02/19/2017","4,845.24","4,894.25","4,922.64","4,806.49","491.13M","-0.46%"
"02/12/2017","4,867.58","4,844.22","4,932.35","4,841.60","503.79M","0.81%"
"02/05/2017","4,828.32","4,829.68","4,845.45","4,733.82","501.44M","0.06%"
"01/29/2017","4,825.42","4,823.50","4,847.47","4,748.90","473.40M","-0.30%"
"01/22/2017","4,839.98","4,816.98","4,901.07","4,800.39","468.29M","-0.22%"
"01/15/2017","4,850.67","4,883.43","4,911.39","4,818.88","476.26M","-1.46%"
"01/08/2017","4,922.49","4,915.35","4,924.58","4,856.50","485.44M","0.26%"
"01/01/2017","4,909.84","4,845.96","4,929.60","4,843.93","367.01M","0.98%"
"12/25/2016","4,862.31","4,840.17","4,864.29","4,822.29","188.35M","0.47%"
"12/18/2016","4,839.68","4,820.49","4,852.58","4,812.08","374.56M","0.13%"
"12/11/2016","4,833.27","4,769.84","4,856.96","4,746.55","686.35M","1.45%"
"12/04/2016","4,764.07","4,506.66","4,780.52","4,502.20","655.65M","5.19%"
"11/27/2016","4,528.82","4,544.09","4,597.54","4,490.15","529.61M","-0.47%"
"11/20/2016","4,550.27","4,525.46","4,571.79","4,479.69","434.00M","1.02%"
"11/13/2016","4,504.35","4,528.05","4,560.88","4,479.94","542.24M","0.34%"
"11/06/2016","4,489.27","4,440.11","4,606.66","4,344.88","760.61M","2.55%"
"10/30/2016","4,377.46","4,525.60","4,540.26","4,355.81","473.01M","-3.76%"
"10/23/2016","4,548.58","4,551.73","4,579.28","4,496.97","475.14M","0.28%"
